66,20,120,8
0,0,212,2
0,42,254,2
0,128,255,4
52,212,255,4
52,255,212,6
1,212,85,6
128,169,0,8
234,84,0,8
233,0,128,10
198,0,234,10
125,21,160,12
97,21,97,12
84,0,70,14
56,17,148,7
18,70,242,0
4,154,246,2
0,220,246,2
1,225,214,4
20,204,156,4
50,190,103,6
62,176,60,6
82,175,37,8
141,184,14,8
195,164,32,10
188,112,60,10
168,80,72,12
164,74,94,12
148,54,84,14
68,39,162,8
0,81,255,2
0,147,255,2
0,190,255,4
0,232,255,4
60,252,233,6
60,250,176,6
0,230,154,8
60,198,133,8
134,165,49,10
157,156,50,10
188,146,78,12
204,97,118,12
170,56,145,14
79,22,160,7
